Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
IGBT P點打火,"IGBT,P點打火","正常環境,AX-316帶15台伺服,同一個櫃內6台驅動器（400+750）第一次上電,燒一台,其它5台正常,設備目前還在調試階段,伺服都沒還沒有動起來","正常環境,AX-316帶15台伺服,同一個櫃內6台驅動器（400+750）第一次上電,燒一台,其它5台正常,設備目前還在調試階段,伺服都沒還沒有動起來",R254、R255、R252、R253電阻燒壞,"R254,R255,R252,R253電阻燒毀"
"IGBT P點打火,對Uopen,控制側損壞","IGBT,P點打火,對UOPEN,控制側損壞",正常顯示,"正常顯示,功能正常使用",R254、R255燒毀,"R254,R255燒毀"
IGBT UVW上下橋擊穿,"IGBT,UVW上下橋擊穿","正常顯示,功能正常使用","正常顯示,功能正常使用",R254、R255燒壞,"R254,R255燒毀"
"IGBT UVW上橋OPEN,下橋擊穿,整流子RS對N 擊穿,T脚燒斷,DR58炸","IGBT,UVW上橋OPEN,下橋擊穿,整流子RS對N,擊穿,T脚燒斷,DR58炸","正常顯示,無異常","正常顯示,功能正常使用",R254/R255電阻過熱,"R254,R255電阻過熱"
IGBT UVW上橋擊穿,"IGBT,UVW上橋擊穿","丟步,檢測維修,需要維修報告","丟步,檢測維修,需要維修報告",R254/R255電阻燒壞,"R254,R255電阻燒毀"
"IGBT UVW上橋擊穿,W下橋open,整流子RS對P擊穿,DR58炸","IGBT,UVW上橋擊穿,W下橋OPEN,整流子RS對P擊穿,DR58炸",全新機品質問題,全新機品質問題,R255燒毀,R255燒毀
IGBT UVW下橋擊穿,"IGBT,UVW下橋擊穿",回升電阻報警,回升電阻報警,R383一端拒焊,R383一端拒焊
"IGBT UVW下橋擊穿,UW上橋擊,V上橋開路","IGBT,UVW下橋擊穿,UW上橋擊,V上橋開路",回生能量釋放緩慢,回生能量釋放緩慢,R620虛焊,R620虛焊
IGBT UV上下橋擊穿,"IGBT,UV上下橋擊穿",回生設定异常,回生設定異常,reset重啓,reset重啓
"IGBT UV上下臂擊穿,DR28損壞","IGBT,UV上下臂擊穿,DR28損壞","回生設定异常,電容充電异常","回生設定異常,電容充電異常",RJ45端口异常,RJ45端口異常
"IGBT UV上橋擊穿、DQ2擊穿,DR28燒,刹車電阻開路","IGBT,UV上橋擊穿,DQ2擊穿,DR28燒,刹車電阻開路",回生電阻open,回生電阻OPEN,RS485通訊不上,RS485通訊不上
IGBT UV相下橋擊穿 DR58炸,"IGBT,UV相下橋擊穿,DR58炸","回生電阻OPEN,剎車晶體GCE之間擊穿","回生電阻OPEN,剎車晶體GCE之間擊穿",RST輸入端銅箔翹皮，整流子擊穿,"RST輸入端銅箔翹皮,整流子擊穿"
IGBT UV對P短路,"IGBT,UV對P SHORT",回生電阻燒,回生電阻燒毀,RS相端子螺絲損壞,RS相端子螺絲損壞
"IGBT UV對P短路,UW對N短路","IGBT,UV對P SHORT,UW對N SHORT","在設備運行一個月左右,報警AL001,AL006,電機停轉","在設備運行一個月左右報警AL001,AL006",RS相銅箔炸斷，整流子擊穿,"RS相銅箔炸斷,整流子擊穿"
IGBT UW上下橋擊穿,"IGBT,UW上下橋擊穿",地綫螺絲擰不緊,地線螺絲滑牙,RS相銅箔斷，DD22擊穿,"RS相銅箔斷,DD22擊穿"
"IGBT UW上下橋擊穿,V上橋擊","IGBT,UW上下橋擊穿,V上橋擊穿",异物污染,異物汙染,RS銅箔熔斷、DQ2，DD22擊穿,"RS銅箔熔斷,DQ2,DD22擊穿"
IGBT UW上橋擊穿,"IGBT,UW上橋擊穿",异常振動,異常振動,RS銅箔斷，DD22擊穿，IGBT炸,"RS銅箔斷,DD22擊穿,IGBT炸"
"IGBT UW對P擊穿,整流子RS對P擊穿","IGBT,UW對P擊穿,整流子RS對P擊穿","异常停機,無顯示",異常停機,RT相銅箔被燒斷,RT相銅箔被燒斷
IGBT U上橋擊穿,"IGBT,U上橋擊穿",异常報警AL006,AL006,R相欠相，DD19反向,"R相欠相,DD19反向"
"IGBT U上橋擊穿,DQ2擊穿,回生電阻open","IGBT,U上橋擊穿,DQ2擊穿,回生電阻OPEN",异響,異響,R相端子墊片翹起,R相端子墊片翹起
"IGBT U上橋擊穿,DR28燒開路","IGBT,U上橋擊穿,DR28燒開路",收不到上位機發送的脉衝指令,收不到脉衝,R相端子螺絲孔牙紋損壞,R相端子螺絲孔牙紋損壞
IGBT U下橋擊穿,"IGBT,U下橋擊穿",收不到脉衝,收不到脉衝,R相端子螺絲卡死,R相端子螺絲卡死
"IGBT U下橋擊穿,PR擊穿,DR58炸","IGBT,U下橋擊穿,PR擊穿,DR58炸",收不到脉衝 位置走不准,收不到脉衝,R相端子螺絲損壞,R相端子螺絲損壞
IGBT U和W上下橋短路,"IGBT,U和W上下橋SHORT",收到新機按鈕就壞了,收到新機按鈕就壞了,R相端子螺絲損壞，MODE鍵掉落,"R相端子螺絲損壞,MODE鍵掉落"
IGBT U相上橋擊穿,"IGBT,U相上橋擊穿",有一個按鈕缺失,按鍵缺失,R相端子螺絲損壞，MODE鍵掉落，端子蓋一端脫落,"R相端子螺絲損壞,MODE鍵掉落,端子蓋一端脫落"
"IGBT U對P open,銅箔燒壞","IGBT,U對P,OPEN,銅箔燒壞",有一個按鍵是壞的,按鍵損壞,R相銅箔炸裂，整流子處散熱片有打火痕迹,"R相銅箔炸裂,整流子處散熱片有打火痕迹"
IGBT U對P相OPEN,"IGBT,U對P,OPEN",有异物粘在IGBTPIN脚上,有異物粘在IGBTPIN脚上,R相銅箔炸斷，DD22擊穿,"R相銅箔炸斷,DD22擊穿"
IGBT U對P短路,"IGBT,U對P SHORT",有個綫路不通,有個綫路不通,R相銅箔斷，DD22擊穿,"R相銅箔斷,DD22擊穿"
"IGBT U對P短路,V對N短路","IGBT,U對P SHORT,V對N SHORT",有個螺絲滑牙了,螺絲滑牙,R相銅箔斷，DR28燒壞，IGBT PIN腳打火，本體炸裂，DD22擊穿，5VD_GD短路,"R相銅箔斷,DR28燒毀,IGBT PIN腳打火,本體炸裂,DD22擊穿,5VD_GD短路"
"IGBT U對P開路,W對P短路","IGBT,U對P開路,W對P SHORT",有時上電不顯示,上電後異常,R相銅箔斷，DR45炸，DR58燒壞，IGBT炸,"R相銅箔斷,DR45炸,DR58燒毀,IGBT炸"
IGBT U對P擊穿,"IGBT,U對P擊穿","有時有顯示,有時無顯示",有時無顯示,R相輸入端到Varistor的銅箔翹皮，整流子DD22、DD23擊穿，軟起電阻DR28燒，IGBT炸,"R相輸入端到Varistor的銅箔翹皮,整流子DD22,DD23擊穿,軟起電阻DR28燒,IGBT炸"
IGBT VW上下橋擊穿,"IGBT,V,W上下橋擊穿",有時無顯示,有時無顯示,R相輸入端到Varistor的銅箔翹皮，整流子DD22擊穿，DR42炸，IGBT炸,"R相輸入端到Varistor的銅箔翹皮,整流子DD22擊穿,DR42炸,IGBT炸"
IGBT VW上橋擊穿,"IGBT,V,W上橋擊穿",有時黑屏,有時無顯示,R相螺絲傾斜,R相螺絲傾斜
IGBT VW下橋擊穿、U上橋擊穿,"IGBT,V,W下橋擊穿,U上橋擊穿",有問題,有問題,R相螺絲損壞,R相螺絲損壞
IGBT V上上橋擊穿,"IGBT,V上橋擊穿",有報警,有報警,R相螺絲滑牙,R相螺絲滑牙
"IGBT V上橋控制與com脚擊穿,與V相擊穿","IGBT,V上橋控制與com脚擊穿,與V相擊穿",有輸入無輸出,有輸入無輸出,R端子滑牙,R端子滑牙
IGBT V上橋短路,"IGBT,V上橋SHORT","有鐵屑污染導致DQ2刹車晶體損壞,回生電阻OPEN","有鐵屑污染導致DQ2刹車晶體損壞,回生電阻OPEN",R端子螺母滑絲,R端子螺母滑絲
IGBT V上橋擊穿,"IGBT,V上橋擊穿",死機,死機,R端子螺絲損壞,R端子螺絲損壞
"IGBT V上橋擊穿,整流子擊穿,DR45炸","IGBT,V上橋擊穿,整流子擊穿,DR45炸","死機,按按鈕無反應",死機,R端子螺絲滑牙,R端子螺絲滑牙
"IGBT V相&W相上橋擊穿,伺服內部進入水","IGBT,V,W上橋擊穿,伺服內部進入水",伺服上電報警AL003,伺服上電報警AL003,R銅箔炸，整流子DD22打火,"R銅箔炸,整流子DD22打火"
IGBT V相下橋擊穿,"IGBT,V相下橋擊穿",伺服上電報警AL006,伺服上電報警AL006,R銅箔熔斷,R銅箔熔斷
IGBT V對P短路,"IGBT,V對P SHORT",伺服上電報警AL3CF,伺服上電報警AL3CF,SET按鍵外力脫落,SET按鍵外力脫落
IGBT v對p擊穿,"IGBT,V對P擊穿","伺服上蓋損壞,外殼有油漬,且有黑色粉塵","伺服上蓋損壞,外殼有油漬,且有黑色粉塵",SET按鍵斷裂脫落,SET按鍵斷裂脫落
IGBT W上橋擊穿,"IGBT,W上橋擊穿",伺服不工作或者報警,伺服未使能,SET鍵受外力撞斷,SET按鍵受外力撞斷
IGBT W相上橋擊穿,"IGBT,W上橋擊穿",伺服不使能,伺服未使能,set鍵與shift功能一致,SET按鍵與shift功能一致
IGBT W對P 短路,"IGBT,W對P SHORT","伺服內部存在液體污染,刹車晶體擊穿,回聲電阻Open,DPH15污染","伺服內部存在液體污染,刹車晶體擊穿,回聲電阻Open,DPH15污染",SET鍵斷裂,SET按鍵斷裂
IGBT W對P短路,"IGBT,W對P SHORT",伺服內部有鐵屑,伺服內部有鐵屑,SG1燒掉,SG1燒毀
IGBT W對P擊穿,"IGBT,W對P擊穿","伺服出現自動重啓,隨後無顯示。","伺服出現自動重啓,隨後無顯示。",SHIFT按鍵帽缺失,SHIFT按鍵帽缺失
IGBT 控制側損壞,"IGBT,控制側損壞",伺服功能正常,伺服功能正常,Shift按鍵斷,SHIFT按鍵斷裂
IGBT 脚壓彎損傷,"IGBT,脚壓彎損傷","伺服功能正常,但是有過壓記錄","伺服功能正常,但是有過壓記錄",SHIFT鍵不靈,SHIFT鍵不靈
IGBT 損壞,"IGBT,損壞",伺服打火,伺服打火,SMT腳位沒有錫,SMT腳位沒有錫
IGBT 碳化溢錫,"IGBT,碳化溢錫",伺服未使能,伺服未使能,SPS/DCBUS電容鼓包，整流子擊穿,"SPS/DCBUS電容鼓包,整流子擊穿"
IGBT 整流子及DR58損壞,"IGBT,整流子及DR58損壞","伺服未使能,無顯示",伺服未使能,SPS電容鼓包,SPS電容鼓包
IGBT 擊穿,"IGBT,擊穿",伺服异響,伺服報警,S和L1相端子螺絲損壞,"S,L1端子_螺絲損壞"
"IGBT 擊穿,DR28損壞","IGBT,擊穿,DR28損壞",伺服死機,伺服死機,S相端子內部螺紋損壞,S端子_螺絲損壞
"IGBT 邊緣鎖裂,內部油污 ,com對PIN12特性异常","IGBT,邊緣鎖裂,內部油污,com對PIN12特性异常",伺服故障,伺服報警,S相端子螺絲損壞,S端子_螺絲損壞
"IGBT&DR58損壞,DR28燒,內部有發現導電金屬片","IGBT,DR58損壞,DR28燒,內部有發現導電金屬片",伺服脉衝功能正常,伺服脉衝功能正常,S相端子螺絲鎖附時有阻力,S端子_螺絲鎖附時有阻力
"IGBT,DQ2擊穿","IGBT,DQ2擊穿",伺服帶馬達正常,伺服帶馬達正常,S相螺絲滑牙,S端子_螺絲滑牙
IGBT-16PININ(LW)對17PIN(VCCL)連錫,IGBT-16PININ(LW)對17PIN(VCCL)連錫,伺服帶馬達運轉正常,伺服帶馬達正常,S端子螺絲無法旋入旋出,S端子_螺絲無法旋入旋出
IGBT-V相對P擊穿,"IGBT,V對P擊穿",伺服報錯,伺服報警,Txx62569週期內產品，客戶預防性更換,"Txx62569週期內產品,客戶預防性更換"
IGBT包焊,IGBT包焊,伺服報警,伺服報警,T相端子螺絲損壞,T端子_螺絲損壞
"IGBT打火,DT1底部打火","IGBT打火,DT1底部打火",伺服報警 需要檢測報告,伺服報警,T相螺絲滑牙,T端子_螺絲滑牙
IGBT夾銅絲,IGBT夾銅絲,"伺服無Encoder信號,接收與發送數據異常","伺服無Encoder信號,接收與發送數據異常",U\W相下橋開路，V相下橋短路,"U\W相下橋開路,V相下橋短路"
IGBT沒有鎖螺絲,IGBT沒有鎖螺絲,伺服會斷電重啟,伺服會斷電重啟,U12焊錫,U12焊錫
IGBT炸,IGBT炸,"伺服運行波動大2000轉運行會超過設定位置,參數重置無效,更換一台正常","伺服運行波動大2000轉運行會超過設定位置,參數重置無效,更換一台正常",U14 PIN10、PIN12擊穿,"U14 PIN10,PIN12擊穿"
IGBT炸 DR58炸,"IGBT炸,B705:B737DR58炸","伺服電機往復運動電機位置會跑偏掉,換台驅動器就好了","伺服電機往復運動電機位置會跑偏掉,換台驅動器就好了",U14燒毀,U14燒毀
IGBT炸 DR58炸 整流子擊穿 軟起燒壞,"IGBT炸,DR58炸,整流子擊穿,軟起燒壞",伺服電機當編碼器使用是時 轉速低于8圈每分鐘平均20分鐘會出現一次從軸反方向動作一下 然後正常運行 換了編碼器就沒有這種現象之前用伺服電機也沒有這種現象,伺服電機當編碼器使用是時 轉速低于8圈每分鐘平均20分鐘會出現一次從軸反方向動作一下 然後正常運行 換了編碼器就沒有這種現象之前用伺服電機也沒有這種現象,U1焊錫不良,U1焊錫不良
"IGBT炸 上橋斷,U對N 短","IGBT炸,上橋斷,U對N,短",伺服檢測正常,伺服檢測正常,U1軟擊穿,U1擊穿
"IGBT炸,C,B無顯示","IGBT炸,C,B無顯示",伺服壞,伺服報警,U1擊穿,U1擊穿
"IGBT炸,DD22擊穿","IGBT炸,DD22擊穿",伺服驅動器功能正常,伺服驅動器功能正常,U21 PIN6、7擊穿,"U21 PIN6,7擊穿"
"IGBT炸,DD22擊穿,DR28燒壞","IGBT炸,DD22擊穿,DR28燒壞",位置檢測异常,位置檢測异常,U21、U701損壞,"U21,U701損壞"
"IGBT炸,DD22擊穿,DR28燒壞,","IGBT炸,DD22擊穿,DR28燒壞,",低電壓,低電壓報警,U21和R136損壞,"U21,R136損壞"
"IGBT炸,DD22擊穿,DR28燒壞,DZD8擊穿","IGBT炸,DD22擊穿,DR28燒壞,DZD8擊穿",低電壓准位設置錯誤,低電壓報警,U21和ZD17擊穿,"U21,ZD17擊穿"
"IGBT炸,DD22擊穿,R相銅箔炸斷","IGBT炸,DD22擊穿,R相銅箔炸斷",低電壓報警,低電壓報警,U21軟擊穿,U21軟擊穿
"IGBT炸,DR28阻值OPEN","IGBT炸,DR28阻值OPEN",告警無輸出,告警無輸出,U21損壞,U21損壞
"IGBT炸,DR28燒","IGBT炸,DR28燒",扭力維持不住,扭力維持不住,U21維修不良,U21維修不良
"IGBT炸,DR42炸,DD22擊穿","IGBT炸,DR42炸,DD22擊穿",批次問題,批次問題,U21燒壞,U21燒毀
"IGBT炸,DR58炸","IGBT炸,DR58炸","批次問題,黑屏","批次問題,黑屏",U21燒壞、U2損壞,"U21燒毀,U2損壞"
"IGBT炸,DR58炸 DD23整流子處跳火,DD23擊穿","IGBT炸,DR58炸,DD23整流子處跳火,DD23擊穿",批次問題要求換新機,批次問題要求換新機,U21燒壞、U44、U2損壞,"U21燒毀,U44,U2損壞"
"IGBT炸,DR58炸,DD22擊穿","IGBT炸,DR58炸,DD22擊穿",批次問題換新,批次問題換新,U21擊穿,U21擊穿
"IGBT炸,DR58炸,剎車晶體擊穿,銅箔燒壞","IGBT炸,DR58炸,剎車晶體擊穿,銅箔燒壞",找不到站號,找不到站號,U24、U33擊穿,"U24,U33擊穿"
"IGBT炸,DR58無損壞,AB機","IGBT炸,DR58無損壞,AB機","找不到站點,通電報AL09C","找不到站點,通電報AL09C",U24損壞,U24損壞
"IGBT炸,DU5 GND對VOUT 擊穿,DR58無損壞","IGBT炸,DU5,GND對VOUT,擊穿,DR58無損壞","找不到站點,通電顯示屏不亮,報AL61","找不到站點,通電顯示屏不亮,報AL061",U24輸出异常,U24輸出異常
"IGBT炸,軟起燒壞,DR58炸","IGBT炸,軟起燒壞,DR58炸",找到站號,找到站號,U24輸出電壓偏低,U24輸出電壓偏低
"IGBT炸,整流子炸,DR58炸","IGBT炸,整流子炸,DR58炸","把穩壓IC U6 PIN上防潮膠移除,上電電壓偵測就恢復正常","把穩壓IC U6 PIN上防潮膠移除,上電電壓偵測就恢復正常",U24擊穿,U24擊穿
"IGBT炸,整流子擊穿","IGBT炸,整流子擊穿","更換交流接觸器後,工作一段時間報警056","更換交流接觸器後,工作一段時間報警AL056",U25 PIN14(OA)對PIN8(GND)短路，R203 Open,"U25 PIN14(OA)對PIN8(GND)SHORT,R203 OPEN"
"IGBT炸,整流子擊穿,DR45炸,銅箔炸","IGBT炸,整流子擊穿,DR45炸,銅箔炸",沒反應,沒反應,U25 PIN14(OA)對PIN8(GND)短路，R203阻值變大，ZD20短路,"U25 PIN14(OA)對PIN8(GND)SHORT,R203阻值變大,ZD20 SHORT"
"IGBT炸,整流子擊穿,DR58炸","IGBT炸,整流子擊穿,DR58炸","沒有MODE鍵,新機剛拆封","沒有MODE鍵,新機剛拆封",U25 PIN14(OA)對PIN8(GND)短路，限流電阻R203 Open,"U25 PIN14(OA)對PIN8(GND)SHORT,限流電阻R203 OPEN"
"IGBT炸,輸入銅箔熔斷","IGBT炸,輸入銅箔熔斷",沒有方向信號,沒有方向信號,U25 PIN2(OB)對PIN8(GND)短路,U25 PIN2(OB)對PIN8(GND)SHORT
"IGBT炸、DR4打火,軟起燒","IGBT炸,DR4打火,軟起燒",沒有找到站號,沒有找到站號,U25 PIN2(OB)對PIN8(GND)擊穿,U25 PIN2(OB)對PIN8(GND)擊穿
IGBT炸表面有過熱痕迹,IGBT炸表面有過熱痕迹,沒有脉衝輸出,沒有脉衝輸出,U25 PIN8(DGND)對PIN13(OA#)短路,U25 PIN8(DGND)對PIN13(OA#)SHORT
IGBT炸裂,IGBT炸裂,沒有發送脉衝,沒有發送脉衝,U25 PIN8(DGND)對PIN2(OB)短路,U25 PIN8(DGND)對PIN2(OB)短路
"IGBT炸裂,DR58炸裂","IGBT炸裂,DR58炸",沒有發現不良元器件,沒有發現不良元器件,U25 擊穿，R254、R255阻值變大，C707打火,"U25 擊穿,R254,R255阻值變大,C707打火"
"IGBT炸毀,DR58炸","IGBT炸毀,DR58炸","沒有數顯,啓動電機,回轉發燙","沒有數顯,啓動電機,回轉發燙",U25PIN14-OA對GND短路,U25PIN14-OA對GND SHORT
IGBT控制側PIN20（COM)對PIN12(VCCH)低阻抗,IGBT控制側PIN20（COM)對PIN12(VCCH)低阻抗,沒有顯示 需要檢測報告,"沒有顯示,需要檢測報告",U25和R204損壞,"U25,R204損壞"
IGBT控制側PIN20(COM)對PIN18(VFO)低阻抗,IGBT控制側PIN20(COM)對PIN18(VFO)低阻抗,沒按鍵,沒按鍵,U25焊錫不良,U25焊錫不良
IGBT控制側損壞,IGBT控制側損壞,"沒接電機,一上電就報AL001","沒接電機,一上電就報AL001",U25過電壓擊穿,U25過電壓擊穿
IGBT焊點邊上PCB碳化,IGBT焊點邊上PCB碳化,沒顯示,沒顯示,U27 PIN3高蹺,U27 PIN3高蹺
IGBT報警AL001,IGBT報警AL001,系列A-0421-L,系列A-0421-L,U2被不明液體污染,U2被不明液體污染
IGBT損壞,IGBT損壞,系列A-1021-L,系列A-1021-L,U2無法產生PO_Z信號,U2無法產生PO_Z信號
"IGBT損壞,DD22特性異常,軟起電阻DR28燒壞整流子與VARISTOR相連銅箔熔斷","IGBT損壞,DD22特性異常,軟起電阻DR28燒壞整流子與VARISTOR相連銅箔熔斷","使用ASDA TEST測試治具進行模擬量試驗,試驗通過","使用ASDA TEST測試治具進行模擬量試驗,試驗通過",U2進膠,U2進膠
"IGBT損壞,DR58、DR28損壞","IGBT損壞,DR58,DR28損壞","使用ASDA_soft軟件連接驅動器速度模式和扭矩模式正常運行,但是在運行一段時間後會突然面板不顯示,ASDA_soft也連接不上","使用ASDA_soft軟件連接驅動器速度模式和扭矩模式正常運行,但是在運行一段時間後會突然面板不顯示,ASDA_soft也連接不上",U2輸出encoder信號异常,U2輸出encoder信號異常
"IGBT損壞,DR58炸,變壓器底部打火,DU1損壞（BP對GND阻抗偏低129.7kΩ）","IGBT損壞,DR58炸,變壓器底部打火,DU1損壞（BP對GND阻抗偏低129.7kΩ）",使用一段時間後會有斷電、异響情况出現,使用一段時間後會有斷電、异響情况出現,U32 PIN3-2 PIN4-2短路,U32 PIN3-2 PIN4-2 SHORT
"IGBT損壞,DR58損壞","IGBT損壞,DR58損壞",使用幾分鐘後會出現氣味,使用幾分鐘後會出現氣味,U33焊錫不良,U33焊錫不良
"IGBT損壞,軟起電阻DR28open","IGBT損壞,軟起電阻DR28OPEN","使用軸卡測試Ethercat功能,按shift不會導致報警AL3E3,使用測試機測試pass","使用軸卡測試Ethercat功能,按shift不會導致報警AL3E3,使用測試機測試pass",U37受到腐蝕,U37受到腐蝕
IGBT損壞伺服內部有金屬導電异物,IGBT損壞伺服內部有金屬導電异物,使能之後出現22號報警,AL022,U42,U42
IGBT過熱,IGBT過熱,使能報警,使能報警,U42 PIN3-2擊穿,U42 PIN3-2擊穿
IGBT過熱報警,IGBT過熱,使能報警AL031,使能報警AL031,U42 PIN3-2擊穿，PIN4-2擊穿,"U42 PIN3-2擊穿,PIN4-2擊穿"
IGBT漏焊,IGBT漏焊,來料CN2接口歪,CN2異常,"U42 PIN3-2擊穿，PIN4-3擊穿,U43 PIN2-4擊穿","U42 PIN3-2擊穿,PIN4-3擊穿,U43 PIN2-4擊穿"
IGBT漏焊導致IGBT U上橋擊穿,"IGBT漏焊導致IGBT,U上橋擊穿",來料不良,來料不良,U42 PIN3-2擊穿，U43 PIN3-2擊穿，PIN4-2擊穿,"U42 PIN3-2擊穿,U43 PIN3-2擊穿,PIN4-2擊穿"
"IGBT漏鎖螺絲,DR58損壞,IGBT UVW上下橋擊穿","IGBT漏鎖螺絲,DR58損壞,IGBT,UVW上下橋擊穿",來料少按鍵,來料少按鍵,U42 PIN4-2、PIN3-2擊穿,"U42 PIN4-2,PIN3-2擊穿"
"IGBT漏鎖螺絲,DR58損壞,IGBT UW上下橋擊穿","IGBT漏鎖螺絲,DR58損壞,IGBT,UW上下橋擊穿",其他,其他,U42 PIN4-2擊穿，PIN3-2擊穿,"U42 PIN4-2擊穿,PIN3-2擊穿"
"IGBT模塊損壞,UVW對P,N之間短路,六橋臂均擊穿,PCB走綫已露出,DR58損壞","IGBT模塊損壞,UVW對P,N之間SHORT,六橋臂均擊穿,PCB走綫已露出,DR58損壞",其他( AL001報警),AL001,U42、U43擊穿,"U42,U43擊穿"
IGBT擊穿,IGBT擊穿,其他( R和S螺絲滑絲 ),"R端子_螺絲滑牙,S端子_螺絲滑牙",U42重工不良,U42重工不良
IGBT擊穿 U對P相擊穿,"IGBT擊穿,U對P相擊穿",其他( 通電不亮 )&,其他( 通電不亮 ),U42擊穿,U42擊穿
IGBT擊穿 軟起電阻燒壞,"IGBT擊穿,軟起電阻燒壞","其他(""T""螺絲滑絲)&",T端子_螺絲滑牙,U43 PIN3-2&PIN4-2短路,U43 PIN3-2&PIN4-2 SHORT
IGBT擊穿 整流子擊穿 DR58炸,"IGBT擊穿,整流子擊穿,DR58炸",其他(001報警)&,AL001,U43 PIN3-2擊穿,U43 PIN3-2擊穿
"IGBT擊穿,DD22,DD23擊穿","IGBT擊穿,DD22,DD23擊穿",其他(003報警),AL003,U43 PIN3-2擊穿，PIN4-2擊穿,"U43 PIN3-2擊穿,PIN4-2擊穿"
"IGBT擊穿,DR28燒","IGBT擊穿,DR28燒",其他(11報警),AL011,U43損壞，是Txx62569風險範圍,"U43損壞,是Txx62569風險範圍"
"IGBT擊穿,DR52,DR58燒","IGBT擊穿,DR52,DR58燒",其他(11號報警)&,AL011,U44損壞,U44損壞
"IGBT擊穿,DR57,DR58炸","IGBT擊穿,DR57,DR58炸",其他(16號報警)&,AL016,U44輸出异常,U44輸出異常
"IGBT擊穿,DR58炸","IGBT擊穿,DR58炸",其他(1號報警)&,AL001,U45缺件,U45缺件
"IGBT擊穿,DR58擊穿,銅箔翹起","IGBT擊穿,DR58擊穿,銅箔翹起",其他(3號報警)&,AL003,U5焊錫不良,U5焊錫不良
"IGBT擊穿,R相端子螺絲滑牙,端子蓋脫落","IGBT擊穿,R端子螺絲滑牙,端子蓋脫落",其他(85號報警)&,AL085,U610異常,U610異常
"IGBT擊穿,R端子螺絲損壞","IGBT擊穿,R端子螺絲損壞",其他(AL001)&,AL001,U610輸出异常,U610輸出異常
"IGBT擊穿,有污染","IGBT擊穿,有污染",其他(AL003),AL003,U611錫短,U611錫短
"IGBT擊穿,刹車晶體DQ2燒壞,電容DC17鼓包,DR300燒壞","IGBT擊穿,刹車晶體DQ2燒壞,電容DC17鼓包,DR300燒壞",其他(AL003)&,AL003,U616 PIN7與PIN8錫短,"U616 PIN7,PIN8錫短"
"IGBT擊穿,金屬絲污染","IGBT擊穿,金屬絲污染",其他(AL006)&,AL006,U8異常,U8異常
"IGBT擊穿,導熱Rubber上有異物","IGBT擊穿,導熱Rubber上有異物",其他(AL006無法消除),AL006,U9 5VD_iso對DGND_ISO短路,U9 5VD_iso對DGND_ISO SHORT
IGBT擊穿、DPH9PIN脚短路、DPH16PIN脚短路,"IGBT擊穿,DPH9PIN脚SHORT,DPH16PIN脚SHORT",其他(AL085報警)&,AL085,U9炸裂，U33擊穿,"U9炸裂,U33擊穿"
IGBT擊穿、刹車晶體燒壞,"IGBT擊穿,刹車晶體燒壞","其他(AX8連接ETHERCAT通訊异常,報警EEPROM ERROR 16#51 錯誤代碼)&","其他(AX8連接ETHERCAT通訊异常,報警EEPROM ERROR 16#51 錯誤代碼)",U9虛焊,U9虛焊
IGBT擊穿、整流子擊穿、R相銅箔炸、軟起電阻燒,"IGBT擊穿,整流子擊穿,R相銅箔炸,軟起電阻燒",其他(B3-E批量故障 歸還),其他(B3-E批量故障 歸還),U9擊穿，5Vdc_ISO對DGND_ISO短路，5VDPWR對GND短路/ZD10燒,"U9擊穿,5Vdc_ISO對DGND_ISO SHORT,5VDPWR對GND SHORT,ZD10燒"
IGBT鎖裂,IGBT鎖裂,其他(CN1口壞),CN1異常,unk,unk
IGBT壞,IGBT異常,其他(CN1端口沒有輸出),CN1異常,UP、DOWN、SET、SHIFT按鍵斷裂脫落,"UP,DOWN,SET,SHIFT按鍵斷裂脫落"
"IGBT邊緣鎖裂,靜態量測正常,功能測試正常","IGBT邊緣鎖裂,靜態量測正常,功能測試正常","其他(CN2接口有問題,插不緊 )",CN2異常,UP鍵失靈無反應,UP按鍵失靈無反應
"IGBT鐳射焊錫碳化,功能測試正常。","IGBT鐳射焊錫碳化,功能測試正常。",其他(DSP黑屏問題),其他(DSP黑屏問題),UP鍵斷裂,UP按鍵斷裂
IN口無通訊,IN口無通訊,其他(ECAT通訊口燈不亮)&,其他(ECAT通訊口燈不亮),USB上電，面板顯示Read only,"USB上電,面板顯示Read only"
"IN口無通訊,切片分析結果爲焊接後應力拉扯","IN口無通訊,切片分析結果爲焊接後應力拉扯",其他(MODE鍵無反應,其他(MODE鍵無反應,USB上電無顯示,USB上電無顯示
IO异常,I/O異常,"其他(QIA220401 case材料廠商將 V3 case混入B3 case 料號 ,case錯料影響産品散熱)&","其他(QIA220401 case材料廠商將 V3 case混入B3 case 料號 ,case錯料影響産品散熱)",USB上電顯示DFU,USB上電顯示DFU
io有問題,I/O異常,其他(R相損壞),其他(R相損壞),USB接口損壞,USB接口損壞
IO無信號,I/O異常,其他(R相螺絲滑牙),R端子_螺絲滑牙,USB無法通訊,USB無法通訊
"IO點燒了,接錯綫,5V輸入結成24V的",I/O異常,其他(S項螺絲滑牙)&,S端子_螺絲滑牙,USB無法識別,USB無法識別
