合併正規化值,正規化
J10 退pin導致第1組七段顯示器A管子缺筆畫,J10 退PIN導致第1組7段顯示器A管子缺筆劃
J10外力損壞斷線,J10外力損壞
J10槽內有異物,J10槽內異物
"J10連同銅箔脫落,七段顯示有被撞的痕跡","J10連同銅箔脫落,7段顯示有被撞的痕跡"
J10錫渣短路,J10錫渣SHORT
J11pin2下陷,J11PIN2下陷
J1處銅箔燒碳化,J1銅箔燒毀碳化
J5粘膠,J5黏膠
J5進水報警AL016,"J5進水,AL016"
J6 Pin2(DGND)與U21 Pin5(DGND)之間Open,J6 PIN2(DGND)與U21 PIN5(DGND)之間OPEN
J6 Pin2無線尾,J6 PIN2無線尾
J6 pin斷,J6 PIN斷
J610 PIN6-8錫短,J610 PIN6~8錫短
J610 pin13和pin15錫短,"J610 PIN13,PIN15錫短"
J610 pin腳連錫,J610 PIN腳連錫
J7端子PIN19（VREF）有異物,J7端子PIN19（VREF）有异物
"KEYPAD 銘板脫落不見,mode按鍵損壞","keyPad銘板脫落不見,MODE按鍵損壞"
L1 L2/USB上電面板一直閃爍顯示Read only,"L1,L2,USB上電面板一直閃爍顯示Read only"
L1C相端子螺絲滑牙,LC1_螺絲滑牙
L1C端子螺絲損壞,L1_螺絲損壞
L1C螺絲壞擰不下去,L1C_螺絲滑牙
L1C螺絲滑牙,L1C_螺絲滑牙
"L1C螺絲滑牙,螺母正常","L1C_螺絲滑牙,螺母正常"
L1C螺絲無法旋入旋出。,L1C_螺絲滑牙
L1L2上電無顯示,"L1,L2上電無顯示"
L1L2上電面板無顯示,"L1,L2上電無顯示"
L1L2上電顯示正常,"L1,L2上電顯示正常"
L1L2相端子螺絲損壞,"L1,L2_螺絲損壞"
L1c漏焊,L1C漏焊
L1c端子內部螺紋損壞,LC端子內部螺紋損壞
L1c端子螺絲受外力損壞,L1_螺絲損壞
L1上電端子滑牙,L1_上電端子滑牙
L1相端子螺絲損壞,L1_螺絲損壞
L1相螺絲損壞,L1_螺絲損壞
L1螺絲滑牙,L1_螺絲滑牙
L2C擰不緊,L2C_螺絲滑牙
L2C相端子螺絲損壞,L2C_端子螺絲損壞
L2C端子螺母滑絲,L2C_螺絲滑牙
L2C螺絲壞擰不下去,L2C_螺絲滑牙
L2C螺絲損壞,L2C_螺絲損壞
L2C螺絲滑牙,L2C_螺絲滑牙
L2C點滑牙,L2C_螺絲滑牙
L2L螺絲滑牙,L2L_螺絲滑牙
L2c包焊,L2C包焊
L2c相端子螺絲損壞,L2C_端子螺絲損壞
L2c端子內部螺紋損壞,L2C端子內部螺紋損壞
L2c端子螺絲受外力損壞,L2C_螺絲損壞
L2相端子螺絲損壞,L2端子螺絲損壞
L2端子螺絲卡死,L2_螺絲卡死
L2端子螺絲卡死損壞,L2端子螺絲損壞
L2螺絲滑牙,L2_螺絲滑牙
L2螺絲滑開,L2_螺絲滑牙
LA002報警,AL002
MODE按鍵壞了,MODE按鍵損壞
MODE按鍵掉落,MODE按鈕缺失
MODE按鍵脫落,MODE按鈕缺失
"MODE鍵,上鍵損壞",MODE按鍵缺失
MODE鍵壞,MODE按鍵損壞
MODE鍵損壞,MODE按鍵損壞
MODE鍵損壞掉落,MODE按鍵損毀
MODE鍵撞壞,MODE按鍵損壞
MODE鍵斷,MODE按鍵損壞
"MODE鍵斷,SHIFT按鍵斷","MODE按鍵斷裂,SHIFT按鍵斷裂"
MODE鍵斷裂,MODE按鍵損壞
MODE鍵缺失,MODE按鍵缺失
MODE鍵脫落,MODE按鍵損毀
Mode按鍵損壞,MODE按鍵損壞
"N-C-D之間打火,IGBT擊穿,DD22擊穿,回生電阻OPEN,DRLY1短路","N~C~D之間打火,IGBT擊穿,DD22擊穿,回生電阻OPEN,DRLY1 SHORT"
NDF-檢測正常,NDF~檢測正常
No Defect Found,No Defect FoUnd
N對RS短路,N對RS SHORT
N對UVW open,N對UVW OPEN
OA.OB口壞了,"OA,OB口壞了"
OA/OB/OZ對GND阻抗異常,"OA,OB,OZ對GND阻抗異常"
OAOBOZ信號無輸出,"OA,OB,OZ信號輸出異常"
OAOBOZ波形正常,"OA,OB,OZ波形正常"
OAOBOZ無輸出,"OA,OB,OZ信號輸出異常"
OAOBOZ輸出異常,"OA,OB,OZ信號輸出異常"
OA輸出異常,OA信號輸出異常
OB信號無輸出,OB信號輸出異常
OB輸出異常,OB信號輸出異常
P-U相短路,P~U相SHORT
P/N對PE短路,"P,N對PE SHORT"
P/N對RS OPEN,"P,N對RS OPEN"
"P/N對Ropen,對UW短路,N對C擊穿","P,N對R OPEN,對UW SHORT,N對C擊穿"
P1-01參數設置錯誤,P1~01參數設置異常
P1-37參數設置異常,P1~37參數設置異常
"PCB孔徑不符規格,插件難插導致容易折腳","PCB孔徑不符規格,插件難插導致容易折脚"
PH20/PH21為W1934週TLP2366批量品質問題光耦,"PH20,PH21為W1934週TLP2366批量品質問題光耦"
PLC脈衝只朝一個方向走,PLC脉衝只朝一個方向走
PN對R OPEN.N對T短路,PN對R OPEN.N對TSHORT
PN對R open,PN SHORT
PN短路,PN SHORT
PULSE INPUT電路限流電阻燒,PULSE INPUT電路限流電阻燒毀
"PW擊穿,NU 斷開,DR58炸","PW擊穿,NU 斷開,DR58炸裂"
Pluse Output電路接線異常,PULSE OUTPUT電路接線異常
Pulse Input電路接線異常,PULSE INPUT電路接線異常
"P對R OPEN,對SUVW 短路,N對R open","P對R OPEN,對SUVW SHORT,N對R OPEN"
"P對RS open,對T短路,N對RS","P對RS OPEN,對T SHORT,N對RS"
"P對RSopen,對UVW open,N對RSUopen","P對RS OPEN,對UVW OPEN,N對RSU OPEN"
P對RS短路,P對RS SHORT
"P對Ropen,N對Rsopen,DC3/DC53鼓包","P對R OPEN,N對RS OPEN,DC3,DC53鼓包"
"P對SUVW短路,N對R短路","P對SUVW SHORT,N對R SHORT"
"P對U OPEN,N對W短路","P對U OPEN,N對W SHORT"
"P對UV open,N對W短路","P對UV OPEN,N對W SHORT"
"P對UVW open,N對RS 短路,對UVWopen","P對UVW OPEN,N對RS SHORT,對UVW OPEN"
"P對UVW open,N對UW open,對V短路","P對UVW OPEN,N對UW OPEN,對V SHORT"
P對UVW短路,P對UVW SHORT
"P對UVW短路,進液體腐蝕污染","P對UVW SHORT,進液體腐蝕污染"
"P對UW open,N對W open","P對UW OPEN,N對W OPEN"
P對U擊穿 軟起電阻燒壞,P對U擊穿 軟起電阻燒毀
P對U短路,P對U SHORT
"P對U短路,N對UVW open","P對U SHORT,N對UVW OPEN"
"P對U短路,N對VW open","P對U SHORT,N對VW OPEN"
"P對U短路,控制側有鐳射焊錫偏移碳化點,PIN間無短路現象","P對U SHORT,控制側有鐳射焊錫偏移碳化點,PIN間無SHORT現象"
P對U短路IGBT損壞,P對U SHORT IGBT損壞
"P對V open P對W短路,N對RS短路,N對UV OPEN","P對V OPEN,P對W SHORT,N對RS SHORT,N對UV OPEN"
"P對V open,N對UW短路","P對V OPEN,N對UW SHORT"
P對Vopen,P對V OPEN
P對V短路,P對V SHORT
P對WU pin腳跳火,P對WU PIN腳跳火
P對W相Short,P對W SHORT
P對W相特性Short,P對W相特性SHORT
P對W短路,P對W SHORT
P相端子螺絲損壞,P相_螺絲損壞
Q12-CE擊穿,Q12~CE擊穿
Q12短路,Q1 SHORT
Q9 碎件,Q9碎件
R S T對P short,"R,S,T對P SHORT"
"R,L1L2相端子螺絲損壞","R,L1,L2_螺絲損壞"
"R,S,L1相端子螺絲損壞","R,S,L1_螺絲損壞"
"R,S,T,L1上電端子pin腳無線尾","R,S,T,L1上電端子PIN脚無線尾"
"R,S相端子螺絲損壞","R,S_螺絲損壞"
"R,S端子螺絲損壞","R,S_螺絲損壞"
R/L1相端子螺絲損壞,R/L1端子_螺絲損壞
"R15,R222,R201燒","R15,R222,R201燒毀"
"R15,R222,R76燒,D13過熱","R15,R222,R76燒毀,D13過熱"
R160燒,R160燒毀
"R160燒,C140,R153損壞","R160燒毀,C140,R153損壞"
"R160燒,PH4 Open","R160燒毀,PH4 OPEN"
"R160燒,PH5 pin1熔斷,PH4 Open","R160燒毀,PH5 PIN1熔斷,PH4 OPEN"
"R160燒壞,C140,R153損壞","R160燒毀,C140,R153損毀"
R205燒壞,R205燒毀
"R252,R253,R254,R255燒","R252,R253,R254,R255燒毀"
"R252,R253,R254,R255燒件","R252,R253,R254,R255燒毀件"
"R252,R253,R254,R255燒壞","R252,R253,R254,R255燒毀"
"R252,R253,R254,R255燒碳化","R252,R253,R254,R255燒毀碳化"
"R252,R253,R255燒","R252,R253,R255燒毀"
"R252,R253燒","R252,R253燒毀"
"R252,R253燒件","R252,R253燒毀"
"R252,R253燒壞","R252,R253燒毀"
"R252,R253燒壞,3.3V擊穿,灌入3.3V電壓,DSP異常發熱","R252,R253燒毀,3.3V擊穿,灌入3.3V電壓,DSP異常發熱"
"R252,R253燒壞,RST pin腳有打火,控制板有噴灰","R252,R253電阻燒毀,RST PIN脚有打火,控制板有噴灰"
"R252,R253燒燬","R252,R253燒毀"
"R252,R253燒碳化","R252,R253燒毀碳化"
R252/253/254/255燒毀,"R252,R253,R254,R255燒毀"
R252/R253/R254/R255電阻燒壞,"R252,R253,R254,R255電阻燒毀"
R252/R253燒壞,"R252,R253燒毀"
R252/R253限流電阻燒壞,"R252,R253限流電阻燒毀"
R252和R253燒毀,"R252,R253燒毀"
"R254,R255,R252,R253電阻燒壞","R252,R253,R254,R255電阻燒毀"
"R254,R255燒壞","R254,R255電阻燒毀"
"R254,R255燒毀","R254,R255電阻燒毀"
"R254,R255電阻燒壞","R254,R255電阻燒毀"
R254/R255電阻燒壞,"R254,R255電阻燒毀"
R254/R255電阻過熱,"R254,R255電阻過熱"
R260  BOM錯建爲0Ω,R260 BOM錯建爲0Ω
RL001報警,AL001
RL003,AL003
RL083,AL083
RS&RT上電SERVO ON報警AL022-重組後正常,RS&RT上電SERVO ON報警AL022~重組後正常
"RST對P/N特徵正常,輸出端子P對N阻抗30.1Ω","RST對P,N特徵正常,輸出端子P對N阻抗30.1Ω"
RS相端子螺絲損壞,RS_螺絲損壞
"RS相銅箔炸斷,整流子擊穿","RS相銅箔炸裂斷,整流子擊穿"
"RS銅箔斷,DD22擊穿,IGBT炸","RS銅箔斷,DD22擊穿,IGBT炸裂"
RT/L1L2上電使能後報AL022,"RT,L1L2上電使能後報AL022"
RT相銅箔被燒斷,RT相銅箔被燒毀斷
"RT銅箔熔斷,DD22擊穿,DQ2剎車晶體燒壞","RT銅箔熔斷,DD22擊穿,DQ2剎車晶體燒毀"
R位螺絲滑牙,R端子_螺絲滑牙
R口滑牙,R端子_螺絲滑牙
"R對P短路,ST對N短路","R對P SHORT,ST對N SHORT"
"R對一段短路,通電跳閘","R對一段SHORT,通電跳閘"
R滑絲,R端子_螺絲滑牙
R相對N擊穿,R對N擊穿
R相欠相,R欠
R相端子壞,R端子_螺絲損壞
"R相端子牙紋損壞,螺絲退不出來","R端子_牙紋損壞,螺絲退不出來"
R相端子螺絲卡死,R端子_螺絲卡死
R相端子螺絲卡頓,R端子_螺絲卡頓
R相端子螺絲損壞,R端子_螺絲損壞
"R相端子螺絲損壞,MODE鍵掉落","R端子_螺絲損壞,MODE鍵掉落"
"R相端子螺絲損壞,MODE鍵掉落,端子蓋一端脫落","R端子_螺絲損壞,MODE鍵掉落,端子蓋一端脫落"
R相端子螺絲滑牙,R端子_螺絲滑牙
"R相端子螺絲滑牙,無法進退","R端子_螺絲滑牙,無法進退"
R相螺母磨損嚴重,R端子_螺絲損壞
R相螺絲損壞,R端子_螺絲損壞
R相螺絲滑牙,R端子_螺絲滑牙
"R相螺絲滑牙,IGBT焊錫碳化","R端子_螺絲滑牙,IGBT焊錫碳化"
"R相螺絲滑牙,螺母正常","R端子_螺絲滑牙,螺母正常"
R相螺絲滑牙無法鎖到底,R端子_螺絲滑牙
"R相輸入端到Varistor的銅箔翹皮,整流子DD22,DD23擊穿,軟起電阻DR28燒,IGBT炸","R相輸入端到Varistor的銅箔翹皮,整流子DD22,DD23擊穿,軟起電阻DR28燒毀,IGBT炸裂"
"R相輸入端到Varistor的銅箔翹皮,整流子DD22擊穿,DR42炸,IGBT炸","R相輸入端到Varistor的銅箔翹皮,整流子DD22擊穿,DR42炸裂,IGBT炸裂"
"R相銅箔斷,DR28燒壞,IGBT pin腳打火,本體炸裂,DD22擊穿,5VD_GD短路","R相銅箔斷,DR28燒毀,IGBT PIN腳打火,本體炸裂,DD22擊穿,5VD_GD短路"
"R相銅箔斷,DR45炸,DR58燒壞,IGBT炸","R相銅箔斷,DR45炸裂,DR58燒毀,IGBT炸裂"
"R相銅箔炸斷,DD22擊穿","R相銅箔炸裂斷,DD22擊穿"
"R相銅箔炸裂,整流子處散熱片有打火痕跡","R相銅箔炸裂,整流子處散熱片有打火痕迹"
R端子滑牙,R端子_螺絲損壞
R端子螺母滑絲,R端子_螺絲滑牙
R端子螺絲損壞,R端子_螺絲滑牙
R端子螺絲滑牙,R端子_螺絲滑牙
R端螺絲滑牙,R端子_螺絲滑牙
R螺絲口壞,R端子_螺絲滑牙
R螺絲滑牙,R端子_螺絲滑牙
"R螺絲滑牙,上電報警",R端子_螺絲滑牙
R通道螺絲滑牙,R端子_螺絲滑牙
"R銅箔炸,整流子DD22打火","R銅箔炸裂,整流子DD22打火"
R項螺絲滑牙,R端子_螺絲滑牙
R點螺絲擰不出來,R端子_螺絲滑牙
"SET按鍵失靈,BSW3按壓無反應,有補焊痕跡","SET按鍵失靈,BSW3按壓無反應,有補焊痕迹"
SET按鍵斷,SET按鍵損壞
"SET按鍵斷,MODE,UP,MOWN,SHIFT按鍵皆有損傷","SET按鍵損壞,MODE,UP,MOWN,SHIFT按鍵皆有損傷"
SET鍵和SHIFT鍵功能一樣,SET鍵和SHIFT鍵聯動
SET鍵斷裂,SET按鍵斷裂
SET鍵與UP鍵聯動,SET鍵和UP鍵聯動
SG1燒掉,SG1燒毀
"SHIFT,SET,UP,DOWN按鍵損壞","SHIFT按鍵損壞,SET按鍵損壞,UP按鍵損壞,DOWN按鍵損壞"
SHIFT按鍵帽缺失,SHIFT按鍵缺失
"SHIFT鍵,上鍵損壞","SHIFT按鍵損壞,UP按鍵損壞"
SHIIFT鍵與UP鍵不靈敏,SHIIFT鍵和UP鍵不靈敏
"SPS/DCBUS電容鼓包,整流子擊穿","SPS,DCBUS電容鼓包,整流子擊穿"
Shift按鍵損壞,SHIFT按鍵損壞
Shift按鍵斷,SHIFT按鍵損壞
Shift按鍵缺失,SHIFT按鍵缺失
S和L1相端子螺絲損壞,"S,L1端子螺絲損壞"
S滑絲,S端子_螺絲滑牙
S相端子內部螺紋損壞,S端子_螺絲損壞
S相端子螺絲損壞,S端子_螺絲損壞
"S相端子螺絲滑牙,無法進退","S端子_螺絲滑牙,無法進退"
S相端子螺絲進退困難,"S端子_螺絲滑牙,無法進退"
S相端子螺絲鎖附時有阻力,"S端子_螺絲滑牙,無法進退"
S相螺紋滑牙,S端子_螺絲滑牙
S相螺絲損壞,S端子_螺絲損壞
S相螺絲滑牙,S端子_螺絲滑牙
S相螺絲無法旋入旋出,"S端子_螺絲滑牙,無法進退"
S端子螺絲損壞,S端子_螺絲損壞
S端子螺絲滑牙,S端子_螺絲滑牙
S端子螺絲無法旋入旋出,S端子_螺絲無法旋入旋出
S螺絲外力損壞,S端子_螺絲損壞
"S銅箔熔斷,DD22整流子R-P之間跳火,S引腳處有熱熔痕跡","S銅箔熔斷,DD22整流子R~P之間跳火,S引腳處有熱熔痕跡"
T相端子螺絲損壞,T端子_螺絲損壞
"T相螺絲打滑,螺母隨著螺絲轉動","T端子_螺絲打滑,螺母隨著螺絲轉動"
T相螺絲滑牙,T端子_螺絲滑牙
T螺絲外力損壞,T端子_螺絲損壞
U-BUS電壓顯示異常,U~BUS電壓顯示異常
U12 pin9~pin11之間阻抗為10kohm異常,"U12,PIN9~PIN11之間阻抗為10kohm異常"
"U14 Pin10,Pin12擊穿","U1,PIN10,PIN12擊穿"
U14燒燬,U14燒毀
U21 DP/DM對GND短路,"U21 DP,DM對GND SHORT"
"U21 pin6,7擊穿","U21 PIN6,7擊穿"
U21 燒壞,U21燒毀
U21和R136損壞,"U21,R136損壞"
U21和ZD17擊穿,"U21,ZD17擊穿"
U21燒壞,U21燒毀
"U21燒壞,3.3V和1.2V短路","U21燒毀,3.3V和1.2V SHORT"
"U21燒壞,5V,3.3V和1.2V短路","U21燒毀,5V,3.3V和1.2V SHORT"
"U21燒壞,U2損壞","U21燒毀,U2損壞"
"U21燒壞,U44,U2損壞","U21燒毀,U44,U2損壞"
"U25 Pin13,14開路","U25 PIN13,14開路"
U25 Pin8(DGND)對Pin13(OA#)短路,U25 PIN8(DGND)對PIN13(OA#)SHORT
U25 Pin8(DGND)對Pin2(OB)短路,U25 PIN8(DGND)對PIN2(OB)短路
"U25 pin14(OA)對pin8(GND)短路,R203 Open","U25 PIN14(OA)對PIN8(GND)SHORT,R203 OPEN"
"U25 pin14(OA)對pin8(GND)短路,R203阻值變大,ZD20短路","U25 PIN14(OA)對PIN8(GND)SHORT,R203阻值變大,ZD20 SHORT"
"U25 pin14(OA)對pin8(GND)短路,限流電阻R203 Open","U25 PIN14(OA)對PIN8(GND)SHORT,限流電阻R203 OPEN"
U25 pin2(OB)對pin8(GND)擊穿,U25 PIN2(OB)對PIN8(GND)擊穿
U25 pin2(OB)對pin8(GND)短路,U25 PIN2(OB)對PIN8(GND)SHORT
U25PIN14-OA對GND短路,U25PIN14~OA對GND SHORT
U25和R204損壞,"U25,R204損壞"
U25燒壞,U25燒毀
U27 pin3高蹺,U27 PIN3高蹺
U2燒壞,U2燒毀
U32 pin3-2 pin4-2短路,U32 PIN3~2 PIN4~2 SHORT
U33 output端3.3V輸出端只有1.2左右輸出,U33 OUTPUT端3.3V輸出端只有1.2左右輸出
U42 Pin3-2擊穿,U42 PIN3~2擊穿
"U42 Pin3-2擊穿,Pin4-2擊穿","U42 PIN3~2擊穿,PIN4~2擊穿"
"U42 Pin3-2擊穿,U43 Pin3-2擊穿,Pin4-2擊穿","U42 PIN3~2擊穿,U43 PIN3~2擊穿,PIN4~2擊穿"
"U42 Pin3-2擊穿,pin4-2擊穿","U42 PIN3~2擊穿,PIN4~2擊穿"
"U42 Pin3-2擊穿,pin4-3擊穿,U43 Pin2-4擊穿","U42 PIN3~2擊穿,PIN4~3擊穿,U43 PIN2~4擊穿"
"U42 Pin4-2,Pin3-2擊穿","U42 PIN4~2,PIN3~2擊穿"
"U42 Pin4-2擊穿,Pin3-2擊穿","U42 PIN4~2擊穿,PIN3~2擊穿"
U42Txx 5V/1.2V對GND短路,"U42,Txx 5V,1.2V對GND SHORT"
U43 Pin3-2擊穿,U43 PIN3~2擊穿
"U43 Pin3-2擊穿,Pin4-2擊穿","U43 PIN3~2擊穿,PIN4~2擊穿"
"U43 Pin3-2擊穿,pin4-2擊穿","U43 PIN3~2擊穿,PIN4~2擊穿"
U43 pin3-2&pin4-2短路,U43 PIN3~2&PIN4~2 SHORT
"U44燒壞,ZD16擊穿,USB退PIN","U44燒毀,ZD16擊穿,USB退PIN"
U616 pin7與pin8錫短,U616 PIN7與PIN8錫短
U9 5VD_iso對DGND_ISO短路,U9 5VD_iso對DGND_ISO SHORT
"U9擊穿,5Vdc_ISO對DGND_ISO短路,5VDPWR對GND短路/ZD10燒","U9擊穿,5Vdc_ISO對DGND_ISO SHORT,5VDPWR對GND SHORT,ZD10燒毀"
UP鍵失靈無反應,UP按鍵失靈
UP鍵損壞,UP按鍵損壞
UP鍵斷裂,UP按鍵損壞
UP鍵無效,UP按鍵失靈
USB上電面板無顯示,USB上電無顯示
USB上電顯示Read only,USB上電顯示READ ONLY
"USB剛上電顯示,一會又無顯示",USB上電無顯示
USB無法通訊,USB通訊異常
USB端口退pin,USB端口退PIN
USB通訊不良,USB通訊異常
"USB通訊無法找到COM口,.D-對DGND短路,3.3V對DGND低阻抗","USB通訊無法找到COM口,D~對DGND SHORT,3.3V對DGND低阻抗"
"USB電路ZD16燒壞,ZD11 open,DSP 3.3V對GND短路","USB電路ZD16燒毀,ZD11 OPEN,DSP 3.3V對GND SHORT"
"UVW上橋open VW下橋擊穿,DR58炸","UVW上橋OPEN VW下橋擊穿,DR58炸裂"
"UVW下橋short,軟起電阻燒","UVW下橋SHORT,軟起電阻燒毀"
"UVW對N擊穿,IGBT炸裂,DR58燒壞","UVW對N擊穿,IGBT炸裂,DR58燒毀"
"UVW相間short,對P/N open","UVW相間SHORT,對P,N OPEN"
"UVW相間短路,對P短路","UVW相間SHORT,對P SHORT"
"UV下橋short,軟起電阻DR28 open,DR58燒損","UV下橋SHORT,軟起電阻DR28 OPEN,DR58燒毀損"
"UV對PN擊穿,PR擊穿,DR58炸","UV對PN擊穿,PR擊穿,DR58炸裂"
"UV對P特徵正常,W對P/N open,UV之間阻抗異常","UV對P特徵正常,W對P,N OPEN,UV之間阻抗異常"
U上short,U上SHORT
"U上橋擊穿,UW下橋open,DR58炸","U上橋擊穿,UW下橋OPEN,DR58炸裂"
U對P短路,U對P SHORT
U相上橋短路,U相上橋SHORT
U相對P短路,U相對P SHORT
U相端子螺絲受外力損壞,U端子_螺絲損壞
U相端子螺絲損壞,U端子_螺絲損壞
U相螺絲擰不開,U端子_螺絲滑牙
U相螺絲滑牙,U端子_螺絲滑牙
U相螺絲無法旋入旋出,U端子_螺絲滑牙
U相螺絲針部損壞,U端子_螺絲損壞
U螺絲端子擰不出來也擰不緊,U端子_螺絲滑牙
V-BUS電壓異常為12V,V~BUS電壓異常為12V
"VARISTOR打火,整流子擊穿,IGBT損壞,DR58燒壞,DR28軟啟燒,按鍵壞,USB端子壞","VARISTOR打火,整流子擊穿,IGBT損壞,DR58燒毀,DR28軟啓燒毀,按鍵壞,USB端子壞"
VARISTOR炸,VARISTOR炸裂
"VARISTOR炸,DR28燒壞,DC52鼓包,DC3鼓包","VARISTOR炸裂,DR28燒毀,DC52鼓包,DC3鼓包"
"V對PN斷開,PW,UN擊穿,DR58炸,軟起壞","V對PN斷開,PW,UN擊穿,DR58炸裂,軟起壞"
V對P特性short,V對P SHORT
V對P短路,V對P SHORT
V相上橋短路,V相上橋SHORT
V相端子螺絲損壞,V端子_螺絲損壞
V端子滑牙,V端子_螺絲滑牙
W對P/N開路,"W對P,N開路"
W對P特性short,W對P特性SHORT
W相上橋短路,W相上橋SHORT
"W相端子滑牙,UW相端子附近塑膠外力損壞","W端子_螺絲滑牙,UW端子附近塑膠外力損壞"
W相端子螺絲損壞,W端子_螺絲損壞
W相端子過熱燒壞,W端子_過熱燒毀
W相螺絲卡死,W端子_螺絲損壞
W相螺絲損壞,W端子_螺絲損壞
W相螺絲斷,W端子_螺絲損壞
"W相螺絲盤頭十字紋損壞,螺絲無法擰下來","W端子_螺絲盤頭十字紋損壞,螺絲無法擰下來"
W螺絲滑牙,W端子_螺絲滑牙
X'TAL不起振,X'TAL無法起振
X軸傳感器I/O接觸不良,I/O異常
Y軸報警AL085,Y軸AL085
Y軸驅動器輸出短路,Y軸驅動器輸出SHORT
"ZD19,ZD20損壞","ZD1,ZD20損壞"
ZD20燒,ZD20燒毀
ZD615和ZD7擊穿,"ZD615,ZD7擊穿"
Z軸009報警,Z軸AL009
a.IGBT擊穿（UW對P/N擊穿） b.DR58炸裂,"1.IGBT擊穿(UW對P,N擊穿)2.DR58炸裂"
al0001,AL001
al006,AL006
"al010,al085,剎車異常","AL010,AL085"
al085,AL085
alcdb報警,ALCDB
"a整流子DD22擊穿,S對P擊穿 b.DR58炸裂 c.IGBT炸裂,P腳熔斷,與HSK之間有跳火","1.整流子DD22擊穿,S對P擊穿 2.DR58炸裂 3.IGBT炸裂,P腳熔斷,與HSK之間有跳火"
canopen通訊正常,canOPEN通訊正常
case使用錯料,CASE混料
"case外力損壞,伺服功能正常","CASE外力損壞,伺服功能正常"
case熱熔,CASE熱熔
case錯料,CASE混料
c與短路換上蓋,C相端子與SHORT換上蓋
eeprom 資料錯誤,eeProm 資料錯誤
igbt11/12上有錫片短路,igbt11/12上有錫片SHORT
"inverter炸,DR58炸","inverter炸裂,DR58炸裂"
io有問題,I/O異常
keypad上SET按鍵損壞,keyPad上SET按鍵損壞
"keypad按鍵損壞,分析受外力影響,但與機構設計相關","keyPad按鍵損壞,分析受外力影響,但與機構設計相關"
"keypad缺失,CN2粘膠","keyPad缺失,CN2粘膠"
l1端子滑牙,L1_螺絲滑牙
mini-b連接不上臺達調試軟件,mini~b連接不上臺達調試軟件
mode shift鍵斷,MODE SHIFT鍵斷
mode按鍵損毀,MODE按鍵損毀
"mode鍵損壞,R相端子螺絲損壞","MODE按鍵損壞,R相端子螺絲損壞"
mode鍵斷,MODE按鍵損壞
"power板R\S端子附近燒毀,銅箔融毀,DR58,DR57,DC64燒毀,IPM引腳閒有打火","POWER板R\S端子附近燒毀,銅箔融毀,DR58,DR57,DC64燒毀,IPM引脚閑有打火"
"power板R\S端子附近燒毀,銅箔融毀,U對P短路,R對P\N開路","POWER板R\S端子附近燒毀,銅箔融毀,U對P SHORT,R對P\N開路"
"pulse output電路U25燒壞,R205阻值變大,電源系統全部擊穿","PULSE OUTPUT電路U25燒毀,R205阻值變大,電源系統全部擊穿"
"pulse output電路U25燒壞,R205阻值變大壞,電源系統全部擊穿","PULSE OUTPUT電路U25燒毀,R205阻值變大壞,電源系統全部擊穿"
pulse不接受脈衝,PULSE不接受脈衝
pulse和sign之間短路,PULSE和SIGN之間SHORT
pulse輸入伺服無動作,PULSE輸入伺服無動作
r項螺絲滑牙,R端子_螺絲滑牙
servo on無效,SERVO ON無效
set健壞,SET按鍵損壞
set鍵斷,SET按鍵損壞
set鍵與shift功能一致,SET按鍵與SHIFT功能一致
"shift 鍵失靈,BSW2按壓無反應,有補焊痕跡","SHIFT鍵失靈,BSW2按壓無反應,有補焊痕迹"
shift和set按鍵外力損壞,"SHIFT按鍵損壞,SET按鍵損壞"
"shift按鍵損壞,確認為對策前產品","SHIFT按鍵損壞,確認為對策前產品"
shift按鍵斷裂損壞,SHIFT按鍵損壞
shift鍵斷,SHIFT按鍵損壞
s端滑絲,S端子_螺絲滑牙
s項螺絲滑牙,S端子_螺絲滑牙
unk,UNK
up set鍵斷,UP按鍵損壞
up 鍵斷,UP按鍵損壞
up鍵斷,UP按鍵損壞
"up鍵缺失,case有外力撞擊痕跡","UP按鍵缺失,CASE有外力撞擊痕迹"
"usb連不上電腦,通訊不了",USB通訊異常
u相上橋短路,U相上橋SHORT
u項短路,U項 SHORT
u項缺項,U項缺項
"varistor打火,整流子擊穿,IGBT損壞","VARISTOR打火,整流子擊穿,IGBT損壞"
varistor炸,VARISTOR炸裂
“AL011”報警,AL011
一上電就跳閘,上電後異常
一直報AL011,AL011
一直報警,報警
一直報警al521需要檢修,AL521
一直報電容充電異常,電容充電異常
上不了電 斷電,上電後異常
上機後冒煙,上機後冒烟
"上蓋L1L2輸入線有跳火痕跡,DR1 open,DD1擊穿","上蓋L1L2輸入線有跳火痕跡,DR1 oPen,DD1擊穿"
上鍵損壞,UP按鍵損壞
上電 無顯示,上電後異常
上電01報警,AL001
上電5分鐘報警AL011 需要檢測報告,AL011
上電AL01,上電AL001
"上電AL06;VUS讀值15V,5V短路,上橋驅動光耦二次側5V均短路,U-P open","上電AL06,VUS讀值15V,5V短路,上橋驅動光耦二次側5V均短路,U~P oPen"
上電DSP有嘶嘶的聲音,上電DSP有異音
"上電一段時間後死機,無顯示",上電無顯示
上電一段時間後無反應,上電無顯示
上電一段時間後無顯示,上電無顯示
"上電一段時間後面板卡住,再次上電無顯示",上電無顯示
上電一段時間無顯示,上電無顯示
上電不亮,上電後異常
上電不顯示,上電後異常
